state,x,y
jammu and kashmir,-111.0,261.0
punjab,-148.0,177.0
himachal pradesh,-118.0,205.0
uttrakhand,-76.0,171.0
haryana,-125.0,150.0
delhi,-101.0,133.0
uttar pradesh,-58.0,94.0
rajasthan,-219.0,92.0
bihar,37.0,83.0
sikkim,107.0,110.0
arunachal pradesh,217.0,144.0
gujrat,-259.0,37.0
madhya pradesh,-141.0,19.0
maharastra,-187.0,-56.0
west bengal,78.0,20.0
jharkhand,27.0,41.0
nagaland,220.0,88.0
manipur,207.0,60.0
mizoram,193.0,32.0
tripura,170.0,28.0
assam,150.0,90.0
meghalaya,146.0,70.0
chhattisgarh,-20.0,-3.0
odisha,11.0,-40.0
goa,-172.0,-140.0
karnataka, -150,-170
telangana,-92.0,-89.0
andhra pradesh,-96.0,-146.0
tamil nadu,-98.0,-215.0
kerala,-127.0,-269.0
